district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.643258,92.655053,114.0,4.19,7.3,Sandy loam,High Alluvial Orchard,61.5,234.5,226.0,11.18,12712,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.153898,91.77076,229.9,9.93,7.67,Ferruginous weathered rock,Reserved Forest Upland,79.4,209.1,302.6,5.12,14247,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.897648,94.216404,84.1,0.24,16.75,Coarse river sand and silt,Paddy Cropland,152.6,355.4,424.1,1.41,347,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.105534,90.720016,188.4,9.84,5.25,Gravelly red loam,Rubber Plantation,102.7,177.9,192.6,16.01,14833,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.788006,94.358,113.2,4.79,7.57,Old alluvial terrace soil,Commercial Tea Plantation,105.6,122.3,187.0,9.77,7348,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.833759,94.252249,119.4,4.85,6.65,Deep red acidic loam,Elevated Homestead,76.2,204.6,280.7,9.63,7572,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.526497,93.41484,65.3,0.47,13.64,Marshy organic loam,Paddy Fringe,151.9,332.9,547.7,1.03,652,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.359386,93.073628,540.7,18.43,4.96,Red and yellow forest soil,Sub-Tropical Montane Forest,59.2,129.2,252.5,11.82,10901,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.284007,93.437483,304.7,15.17,6.28,Skeletal rocky soil,Hilly Homestead,66.8,133.7,210.9,19.45,18252,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.738566,92.65289,34.2,0.52,15.05,Hydromorphic depression silt,Paddy Cropland,252.7,425.0,660.8,0.91,197,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.906214,94.294494,79.9,0.13,16.34,Coarse river sand and silt,Paddy Cropland,132.0,299.6,441.4,1.05,87,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.587475,95.072743,106.9,0.32,14.64,Silty clay loam,Wetland / Beel,140.5,335.7,538.1,1.91,622,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.365859,95.832427,192.8,8.16,7.06,Laterite,Highland Industrial / Township,76.3,156.7,295.3,15.45,11892,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.300809,91.436559,50.3,0.6,12.81,Clayey loam,Paddy Cropland,211.9,435.2,547.9,0.63,534,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.318877,92.812543,566.0,12.48,6.13,Gravelly skeletal clay,Hilly Terrain,61.5,133.8,214.3,9.47,14006,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.058978,92.671572,65.2,0.43,12.76,Alluvial clay loam,Lowland Marsh,139.5,316.2,428.8,2.7,571,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.182193,91.936217,142.2,7.86,7.25,Ferruginous weathered rock,Reserved Forest Upland,100.6,223.2,207.7,10.22,11378,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.758029,94.218241,119.9,2.58,7.95,Deep red acidic loam,Elevated Homestead,94.7,129.4,284.6,14.48,17550,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.612715,94.493277,93.9,0.66,11.64,Silty clay loam,Low-lying Rural Settlement,184.3,334.7,579.4,1.3,261,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.14544,90.217824,37.2,0.46,12.32,Fine riverine sand,Paddy Cropland,144.3,274.1,406.1,0.51,67,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.769712,92.770927,25.2,0.57,15.93,Heavy alluvial clay,Paddy Cropland,263.9,543.8,553.9,0.64,227,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.37595,90.916252,50.2,0.49,11.89,Fine alluvial silt,Char Land,162.8,373.7,529.1,1.45,328,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.315293,91.547102,50.5,0.68,13.17,Clayey loam,Paddy Cropland,229.8,337.7,543.4,2.02,118,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.798831,92.743784,101.0,4.54,7.68,Sandy loam,Urban Cantonment,80.8,169.9,204.8,13.73,13562,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.893905,91.738312,121.4,8.96,6.1,Coarse boulder-sand,Foothill Plantation,77.7,180.7,327.6,17.05,8047,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.088237,94.274646,84.4,0.23,14.32,Coarse river sand and silt,Riparian Grassland,140.7,376.7,418.7,0.5,117,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.559442,95.071601,89.1,1.04,14.28,Recent riverine alluvium,Low-lying Rural Settlement,156.9,412.6,559.0,0.83,443,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.017696,93.251966,378.3,16.45,5.11,Lateritic gravelly clay,Dense Tropical Forest,46.3,149.5,161.5,10.01,12252,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.46232,94.790018,94.8,1.08,11.67,Alluvial sandy silt,Wetland / Beel,173.8,326.2,452.5,2.05,315,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.694954,94.499258,93.5,0.5,13.96,Silty clay loam,Paddy Cropland,173.8,293.9,447.2,1.21,65,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.063025,92.823644,69.8,0.92,11.95,Alluvial clay loam,Lowland Marsh,171.8,376.5,401.9,0.91,556,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.600179,95.055587,98.9,0.84,11.54,Alluvial sandy silt,Low-lying Rural Settlement,178.9,340.6,523.7,1.8,484,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.918872,94.358463,79.8,0.57,14.49,Active alluvial deposits,Char / River Island Sandbar,138.7,374.8,415.7,0.98,288,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.167597,90.159966,42.0,0.45,15.06,Hydromorphic alluvial silt,Char Settlement,163.0,381.0,417.4,0.66,400,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.326771,93.153643,813.3,13.97,3.74,Red and yellow forest soil,Settlement on Ridge,75.0,177.5,202.5,28.12,24443,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.728194,91.685191,111.6,6.76,6.01,Bhabar gravelly loam,Foothill Plantation,119.3,174.7,234.4,17.97,11239,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.817007,94.194455,130.4,2.2,7.71,Deep red acidic loam,Agroforestry,100.4,118.5,202.4,18.83,6391,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.071446,90.442591,40.2,0.6,13.88,Fine riverine sand,Char Settlement,203.9,300.4,492.8,0.45,450,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.10055,90.581331,128.0,7.91,4.59,Gravelly red loam,Mixed Scrub and Rocky Outcrop,89.9,210.9,271.0,11.73,12202,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.191873,91.096432,43.7,0.63,15.39,Sand bar alluvium,Permanent Wetland,172.1,434.9,586.7,0.8,78,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.129225,93.245445,531.4,13.47,3.6,Red and yellow forest soil,Sub-Tropical Montane Forest,81.4,173.1,288.7,17.72,29407,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.117593,90.363247,39.4,0.2,15.95,Fine riverine sand,Paddy Cropland,166.3,327.4,480.2,0.21,535,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.308989,95.636914,197.7,14.27,7.18,Sandy clay red loam,Tea Estate,66.6,158.4,219.5,14.72,12939,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.196867,93.100537,697.4,31.64,5.48,Gravelly skeletal clay,Settlement on Ridge,92.0,151.9,191.1,20.27,24940,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.246936,93.142681,70.4,1.0,12.11,Silty alluvium,Rural Settlement,195.0,298.0,484.1,1.42,850,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.781603,91.575315,144.6,3.03,7.7,Bhabar gravelly loam,Tea Estate,112.0,165.4,284.0,8.93,13822,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.328321,94.148112,96.1,0.32,14.42,Riverine silt loam,Rural Homestead,151.8,356.1,462.8,1.27,276,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.643534,92.768754,108.5,6.33,6.29,Sandy loam,Urban Cantonment,73.6,130.3,222.5,6.38,13225,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.732255,94.363309,114.7,3.65,7.75,Old alluvial terrace soil,Elevated Homestead,75.0,130.0,206.6,10.22,17052,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.16108,90.989114,48.7,0.23,14.98,Clayey hydromorphic loam,Permanent Wetland,205.9,453.2,611.9,0.42,546,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.32424,93.448458,180.3,14.63,7.19,Lateritic gravelly clay,Mixed Deciduous Forest,43.3,173.0,172.8,11.52,18279,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.164631,91.744517,202.5,15.99,7.01,Red gravelly loam,Highland Residential Built-up,97.5,158.7,303.8,7.62,9241,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.035991,94.311156,79.1,0.24,15.98,Coarse river sand and silt,Wetland,168.1,368.7,382.5,0.4,92,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.017313,94.253976,78.2,0.54,14.62,Active alluvial deposits,Wetland,181.3,342.2,418.7,0.2,55,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.295289,92.235319,58.0,0.41,14.59,Riverine silt,Paddy Cropland,209.7,373.2,434.0,0.55,418,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.379522,93.663341,243.8,21.21,5.21,Red loamy soil,Dense Tropical Forest,44.9,152.9,239.7,21.95,24975,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.077962,92.857391,809.6,20.84,4.49,Gravelly skeletal clay,Sub-Tropical Montane Forest,95.7,165.9,208.3,18.3,8299,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.771132,94.834433,94.1,1.02,11.57,Alluvial sandy silt,Riparian Grassland,166.3,402.4,574.4,0.76,434,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.314384,91.518649,57.4,0.87,12.0,Alluvial silt loam,Paddy Cropland,223.7,445.5,475.3,1.53,659,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.074089,90.617543,180.7,13.78,6.59,Laterite outcrop,Mixed Scrub and Rocky Outcrop,106.4,153.4,260.1,13.88,13116,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.288719,91.147143,45.2,0.72,15.76,Clayey hydromorphic loam,Paddy Cropland,242.0,471.2,502.6,1.58,100,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.802473,93.682215,269.3,16.78,5.84,Skeletal rocky soil,Rubber / Coffee Plantation,58.8,172.6,237.2,10.64,5642,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.713503,92.452229,112.6,6.28,7.82,Sandy loam,High Alluvial Orchard,80.9,208.0,262.0,13.45,13920,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.203701,91.877305,133.3,11.27,4.99,Ferruginous weathered rock,Highland Residential Built-up,114.1,146.0,215.9,10.01,11150,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.3897,95.736189,146.0,7.68,6.86,Laterite,Tea Estate,127.6,191.5,304.0,11.15,19726,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.743899,92.828377,26.4,0.27,13.13,Heavy alluvial clay,Urban Built-up / Commercial,278.5,501.6,703.8,1.53,294,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.006334,94.263188,81.4,0.28,13.74,Coarse river sand and silt,Paddy Cropland,191.3,318.4,409.5,0.29,62,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.583563,95.179548,93.9,0.83,12.52,Silty clay loam,Paddy Cropland,216.8,302.9,539.7,1.45,208,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.76454,91.517953,99.3,8.81,6.13,Coarse boulder-sand,Foothill Plantation,78.7,216.4,309.2,9.39,9633,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.927749,92.904453,24.0,0.19,12.92,Hydromorphic depression silt,Paddy Cropland,200.5,505.9,589.7,0.98,412,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.838157,91.556762,159.2,4.6,7.57,Coarse boulder-sand,Tea Estate,113.0,213.7,350.8,5.93,14872,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.058157,93.918617,86.1,0.46,10.84,Clayey loam,Alluvial Lowland,140.3,339.2,424.5,1.53,560,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.238438,94.045979,91.5,0.95,12.29,Alluvial fine sand,Rural Homestead,195.1,357.1,514.3,1.93,573,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.276298,91.075347,50.6,0.58,14.68,Fine alluvial silt,Paddy Cropland,215.3,406.0,602.8,1.2,117,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.252047,92.034993,57.9,0.48,12.41,Organic silty clay,Wetland / Marshland,203.0,378.3,576.0,1.91,544,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.851326,92.805827,30.5,0.62,15.81,Hydromorphic depression silt,Urban Built-up / Commercial,223.5,474.5,572.3,0.81,428,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.613681,94.314765,135.0,3.12,6.66,Deep red acidic loam,Agroforestry,56.8,127.6,221.4,8.71,12733,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.267478,92.108167,55.1,0.2,12.18,Clayey alluvium,Rural Floodplain Settlement,167.1,350.3,538.7,0.86,313,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.094273,91.896375,256.6,12.65,8.14,Red gravelly loam,Reserved Forest Upland,81.3,177.4,312.9,5.85,9427,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.209228,91.932277,273.3,14.73,7.81,Ferruginous weathered rock,Highland Residential Built-up,63.4,130.6,249.8,7.93,4732,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.353018,91.307819,53.2,0.32,13.93,Clayey loam,Paddy Cropland,192.4,417.4,599.9,2.35,124,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.951626,93.427053,277.3,13.07,7.18,Red loamy soil,Dense Tropical Forest,53.2,143.7,168.4,17.19,14592,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.176292,93.127723,64.3,0.31,13.71,Alluvial clay loam,Rural Settlement,166.9,384.8,454.7,1.73,226,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.295914,93.185561,602.3,14.56,6.13,Gravelly skeletal clay,Settlement on Ridge,65.1,154.6,185.0,25.89,11781,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.820945,91.509023,156.2,8.99,5.24,Bhabar gravelly loam,Deciduous Forest,117.7,188.9,304.1,7.4,14319,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.78361,92.78595,107.4,4.95,7.8,Piedmont coarse alluvium,Urban Cantonment,102.4,149.6,311.3,13.41,11478,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.592742,93.342767,69.4,0.44,15.15,Alluvial silt loam,National Park Grassland,197.3,344.8,404.0,0.6,481,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.150845,93.868804,87.9,0.43,13.89,Riverine silt loam,Rural Homestead,167.0,342.1,508.8,2.27,403,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.412329,90.781608,51.6,0.48,12.64,Sand bar alluvium,Char Land,218.1,467.2,591.1,1.57,427,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.153892,93.201692,240.0,11.85,6.27,Red loamy soil,Mixed Deciduous Forest,68.4,177.3,239.7,22.79,21786,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.206999,93.095719,65.4,0.99,10.43,Alluvial clay loam,Rural Settlement,175.2,372.8,535.7,2.34,583,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.10382,94.014845,90.9,0.51,12.01,Clayey loam,Rural Homestead,156.7,345.8,411.2,1.07,776,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.796139,92.770596,103.3,3.33,5.2,Piedmont coarse alluvium,Tea Plantation,79.6,138.8,223.1,6.24,3991,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.878022,92.887715,25.0,0.38,12.42,Hydromorphic depression silt,Urban Built-up / Commercial,247.1,425.7,564.1,0.57,248,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.896417,92.695535,27.7,0.34,14.93,Heavy alluvial clay,Dense Settlement,214.7,447.4,667.9,1.48,362,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.702213,94.251706,132.8,2.07,6.92,Old alluvial terrace soil,Elevated Homestead,80.5,115.3,202.7,7.72,13432,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.12257,91.863658,210.2,13.63,6.29,Red gravelly loam,Reserved Forest Upland,108.3,149.6,274.7,8.67,13345,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.974309,94.253445,84.7,0.4,14.44,Active alluvial deposits,Riparian Grassland,182.1,304.2,467.6,1.47,275,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.444007,93.11412,711.2,16.35,5.13,Red and yellow forest soil,Hilly Terrain,100.3,160.4,271.3,19.07,9956,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.228404,93.16572,725.3,16.58,5.92,Gravelly skeletal clay,Sub-Tropical Montane Forest,87.4,200.7,256.5,14.71,22496,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.941484,93.43251,331.6,19.31,7.23,Lateritic gravelly clay,Hilly Homestead,42.6,148.6,155.0,12.56,19474,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.183398,90.373621,40.9,0.37,14.49,Hydromorphic alluvial silt,Char Settlement,165.9,287.1,487.9,1.13,426,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.20162,92.205853,58.7,0.25,12.23,Clayey alluvium,Paddy Cropland,166.1,307.0,560.1,1.79,518,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.599907,93.350884,69.0,0.49,11.02,Marshy organic loam,Paddy Fringe,170.5,317.7,541.6,1.97,460,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.484767,95.857497,192.5,8.69,4.98,Sandy clay red loam,Highland Industrial / Township,125.9,248.3,294.9,7.48,11321,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.431299,91.065321,50.8,0.66,11.72,Sand bar alluvium,Permanent Wetland,170.6,468.6,555.0,0.2,528,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.156211,94.239009,90.2,0.29,13.22,Clayey loam,Paddy Cropland,166.6,395.3,399.1,1.35,369,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.363714,92.399844,59.7,0.6,13.88,Riverine silt,Paddy Cropland,202.7,391.8,589.6,0.74,280,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.024764,93.555807,191.1,9.29,4.69,Lateritic gravelly clay,Hilly Homestead,75.4,93.8,226.7,23.21,5161,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.408074,92.25914,55.7,0.48,14.61,Riverine silt,Wetland / Marshland,198.5,362.4,574.7,1.34,391,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.486079,95.596213,219.6,11.41,7.76,Sandy clay red loam,Highland Industrial / Township,89.5,191.9,295.7,15.64,18911,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.111616,89.965779,40.9,0.34,12.43,Fine riverine sand,Char Settlement,174.7,340.6,463.5,1.11,348,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.461177,90.927894,49.4,0.26,11.91,Clayey hydromorphic loam,Permanent Wetland,207.2,401.2,484.5,0.77,87,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.013072,93.515183,349.7,22.26,7.01,Lateritic gravelly clay,Mixed Deciduous Forest,67.8,131.5,194.0,15.88,22193,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.517319,91.507154,46.6,0.59,11.44,Clayey loam,Paddy Cropland,215.4,352.4,484.9,1.38,505,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.410135,92.291276,53.9,0.66,15.54,Organic silty clay,Paddy Cropland,147.0,372.4,553.3,1.17,329,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.975574,94.319084,81.8,0.12,15.11,Active alluvial deposits,Riparian Grassland,185.6,299.8,396.2,0.62,403,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.800291,94.348186,123.2,3.17,7.37,Deep red acidic loam,Agroforestry,77.0,198.9,285.0,9.66,10327,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.261112,93.008213,369.5,13.82,5.63,Gravelly skeletal clay,Hilly Terrain,78.5,192.3,280.5,19.21,10309,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.193024,92.347107,56.7,0.49,12.09,Organic silty clay,Paddy Cropland,181.1,356.6,480.6,0.96,115,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,26.994483,94.203811,97.9,0.62,13.73,Alluvial fine sand,Alluvial Lowland,161.0,370.7,491.8,0.42,534,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.544729,93.37739,66.1,0.84,13.7,Alluvial silt loam,Wetland,203.7,295.2,419.7,0.33,306,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.772,91.468117,123.9,7.72,6.91,Coarse boulder-sand,Foothill Plantation,119.5,166.3,260.4,8.26,8450,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.828664,91.387833,158.4,7.98,5.0,Coarse boulder-sand,Deciduous Forest,90.0,198.0,357.8,6.54,14403,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.317181,91.001428,46.5,0.45,14.8,Fine alluvial silt,Char Land,167.1,351.9,636.6,1.76,119,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.261226,90.162556,36.5,0.46,12.73,Fine riverine sand,Riparian Wetland,207.9,300.7,455.1,0.22,486,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.199481,91.926704,275.9,20.42,6.16,Red gravelly loam,Rocky Outcrop / Hill Scrub,89.0,182.4,313.8,13.6,5419,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.396947,93.131558,59.2,0.76,12.85,Alluvial clay loam,Rural Settlement,161.0,351.5,524.0,1.47,144,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.890588,93.034164,24.9,0.48,16.03,Hydromorphic depression silt,Urban Built-up / Commercial,236.2,391.8,619.9,1.46,266,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.077685,90.570428,113.8,17.83,6.22,Laterite outcrop,Rubber Plantation,86.4,122.0,258.8,16.78,4180,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.085475,94.346024,84.6,0.36,12.42,Coarse river sand and silt,Paddy Cropland,158.4,372.3,380.9,0.64,217,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.860812,91.452143,143.6,3.14,4.99,Coarse boulder-sand,Tea Estate,122.4,237.8,336.4,6.25,15875,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.604738,93.627711,69.7,0.76,11.81,Alluvial silt loam,Paddy Fringe,175.8,393.4,524.0,1.46,274,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.380358,95.636814,181.1,10.63,6.84,Laterite,Highland Industrial / Township,122.1,232.5,323.8,17.02,12353,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.881884,91.617467,118.7,8.55,7.2,Bhabar gravelly loam,Tea Estate,89.9,218.8,347.3,8.81,7852,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.62801,92.833405,101.9,3.32,7.45,Piedmont coarse alluvium,High Alluvial Orchard,82.5,210.6,281.8,8.45,11876,0,0
